Beijing_S,Beijing_E,Beijing_I,Beijing_R,Beijing_D,Beijing_H,Wuhan_S,Wuhan_E,Wuhan_I,Wuhan_R,Wuhan_D,Wuhan_H
21631614.04129414,5.590049591580951,4.343554568829759,1.4003049471844051,0.0,2.324971044440072,10802002.098693963,859.2414775094677,596.1302187074801,187.1544065717126,1.0,607.703513750767
21635862.166546363,6.231921324166517,4.822364910210866,1.5879230706939444,0.0,2.6833075567209015,10797636.899167446,920.2359616705819,635.3288602798206,202.72725493839496,1.0,662.7830956423993
21640108.50010805,6.931350651270431,5.345171807266267,1.7942337151222292,0.0,3.082789692885423,10793265.403729424,985.3094418149208,677.393150813843,219.32281372152653,1.0,721.7725803648725
21644353.032732546,7.693022647353493,5.91563723940563,2.0207939118071914,0.0,3.5271070423258357,10788887.059653252,1054.754042485055,722.5082233722693,237.01589453851898,1.0,784.9334420196752
21648595.75439934,8.5219934306639,6.537700215384105,2.2692862329347467,0.0,4.02024951972029,10784501.276301997,1128.8811750682066,770.8730049955279,255.88613871638552,1.0,852.5458806405121
21652836.654255915,9.4237171687716,7.215598712680296,2.541527962336004,0.0,4.566531149891053,10780107.430888012,1208.01454922317,822.7010855656604,276.0183774387142,1.0,924.9100585294996
21657075.72055865,10.404071867022033,7.953893113914669,2.839480983778966,0.0,5.1706155837866685,10775704.842089882,1292.5157754037195,878.2211155381906,297.5030145558104,1.0,1002.3468886079079
21661312.94060008,11.469396855737482,8.757490837686076,3.1652624349613294,0.0,5.8375432675701315,10771292.789309574,1382.762686269461,937.6788342657998,320.4364196834235,1.0,1085.2004639543004
21665548.30063948,12.626523488530106,9.631673523762679,3.521156162600748,0.0,6.572761014732792,10766870.502452606,1479.1585257201364,1001.3376546341945,344.9213743836969,1.0,1173.8390976895219
21669781.785825744,13.8828113458501,10.582125702548142,3.9096250665450203,0.0,7.382153546048821,10762437.158515789,1582.1337416711865,1069.4798211639122,371.06753351539476,1.0,1268.6569519023515
21674013.380114425,15.246187147611767,11.614965488328735,4.333324377826118,0.0,8.272077350269981,10757991.877942462,1692.1478971160027,1142.4076521817396,398.9919167990338,1.0,1370.075781496658
21678243.066178817,16.725186563254077,12.736777449909878,4.795115935660214,0.0,9.249397039219453,10753533.720729308,1809.691707727132,1220.44487140461,428.81943279159515,1.0,1478.5468005425557
21682470.825314477,18.32899912155638,13.954647822394822,5.298083533290784,0.0,10.321524383017794,10749061.682268016,1935.2892147601501,1303.9380346655007,460.68343760484447,1.0,1594.552679243013
21686696.637336764,20.06751643740608,15.276202234782758,5.8455494077879235,0.0,11.496460224143203,10744574.688903812,2069.50010256799,1393.2580579199844,494.7263308507645,1.0,1718.6096801891767
21690920.48047097,21.951383988570694,16.709646139816726,6.441091954478535,0.0,12.782839482951282,10740071.593191773,2212.922170611665,1488.8018531052173,531.1001914577422,1.0,1851.2699431743038
21695142.33123431,23.992056692432868,18.263808145142292,7.088564752615082,0.0,14.189979482218636,10735551.16883058,2366.1939704669417,1590.9940788817858,569.9674561725988,1.0,1993.1239284699232
21699362.16430946,26.20185855067825,19.948186458401906,7.79211699522256,0.0,15.727931834297666,10731012.10525203,2529.9976189770914,1700.289013774583,611.501643746971,1.0,2144.8030291408813
21703579.952408843,28.594046649162678,21.772998673443993,8.556215422823454,0.0,17.407538151648836,10726453.00184327,2705.0617993907586,1817.1725597434254,655.8881280026504,1.0,2306.9823636906945
21707795.666128997,31.182879820709758,23.749235140434177,9.385667867959718,0.0,19.24048985992849,10721872.36177718,2892.1649630527095,1942.1643847590685,703.3249631800041,1.0,2480.3837610875376
21712009.273794487,33.983692300493054,25.888716179384065,10.285648525142125,0.0,21.239392412538095,10717268.585424788,3092.1387449849813,2075.820213537477,754.0237651973495,1.0,2665.778951026815
21716220.74129042,37.01297272703129,28.20415341453369,11.261725069095712,0.0,23.417834226672262,10712639.96332198,3305.871607508203,2218.73427619632,808.210652687959,1.0,2863.9929731412367
21720430.031882893,40.28844886677075,30.709215526212105,12.319887752972756,0.0,25.790460683533244,10707984.668660872,3534.312726908574,2371.5419252446004,866.1272519361253,1.0,3075.9078197763774
21724637.106026433,43.82917846685182,33.41859873733973,13.466580627611254,0.0,28.373053559608298,10703300.749274578,3778.47613905629,2534.922432000859,928.0317701053405,1.0,3302.4663279115425
